model_tag,source,stage,productivity_decile,mean_abs_rank_change,median_abs_rank_change,n
ar1_s,AR(1)-GRW-S,0,1,0.2781653,0.21125,1000
ar1_s,AR(1)-GRW-S,0,2,0.27136829999999995,0.1877,1000
ar1_s,AR(1)-GRW-S,0,3,0.2593836,0.20715,1000
ar1_s,AR(1)-GRW-S,0,4,0.24488990000000002,0.22605,1000
ar1_s,AR(1)-GRW-S,0,5,0.2346501,0.22649999999999998,1000
ar1_s,AR(1)-GRW-S,0,6,0.2417485,0.24334999999999996,1000
ar1_s,AR(1)-GRW-S,0,7,0.2394881,0.22050000000000003,1000
ar1_s,AR(1)-GRW-S,0,8,0.2647445,0.20859999999999995,1000
ar1_s,AR(1)-GRW-S,0,9,0.2655964,0.18960000000000005,1000
ar1_s,AR(1)-GRW-S,0,10,0.2936515,0.21569999999999995,1000
ar1_s,AR(1)-GRW-S,1-4,1,0.204799925,0.1264,4000
ar1_s,AR(1)-GRW-S,1-4,2,0.2365562625,0.158925,4000
ar1_s,AR(1)-GRW-S,1-4,3,0.2351991875,0.18664999999999998,4000
ar1_s,AR(1)-GRW-S,1-4,4,0.225967525,0.2019,4000
ar1_s,AR(1)-GRW-S,1-4,5,0.22769162499999998,0.21689999999999998,4000
ar1_s,AR(1)-GRW-S,1-4,6,0.22396891249999998,0.21280000000000002,4000
ar1_s,AR(1)-GRW-S,1-4,7,0.22802435,0.20565,4000
ar1_s,AR(1)-GRW-S,1-4,8,0.23156267500000002,0.18245,4000
ar1_s,AR(1)-GRW-S,1-4,9,0.23420535,0.15889999999999999,4000
ar1_s,AR(1)-GRW-S,1-4,10,0.2081787625,0.12670000000000003,4000
ar1_s,AR(1)-GRW-S,5-7,1,0.1932605166666667,0.12225,3000
ar1_s,AR(1)-GRW-S,5-7,2,0.22110041666666666,0.14529999999999998,3000
ar1_s,AR(1)-GRW-S,5-7,3,0.2233181,0.1754,3000
ar1_s,AR(1)-GRW-S,5-7,4,0.22190951666666667,0.2006,3000
ar1_s,AR(1)-GRW-S,5-7,5,0.21664436666666664,0.20390000000000003,3000
ar1_s,AR(1)-GRW-S,5-7,6,0.22035931666666667,0.20899999999999996,3000
ar1_s,AR(1)-GRW-S,5-7,7,0.22353446666666665,0.2039,3000
ar1_s,AR(1)-GRW-S,5-7,8,0.22565506666666665,0.18020000000000003,3000
ar1_s,AR(1)-GRW-S,5-7,9,0.2177128,0.1451,3000
ar1_s,AR(1)-GRW-S,5-7,10,0.18382103333333336,0.11080000000000001,3000
ar1_s,AR(1)-GRW-S,8-20,1,0.160464625,0.0925,12000
ar1_s,AR(1)-GRW-S,8-20,2,0.19647972083333332,0.1306,12000
ar1_s,AR(1)-GRW-S,8-20,3,0.20348686666666665,0.16394999999999998,12000
ar1_s,AR(1)-GRW-S,8-20,4,0.20681999583333333,0.18380000000000002,12000
ar1_s,AR(1)-GRW-S,8-20,5,0.209170075,0.19634999999999997,12000
ar1_s,AR(1)-GRW-S,8-20,6,0.20935482083333334,0.19655,12000
ar1_s,AR(1)-GRW-S,8-20,7,0.20588284583333333,0.18399999999999997,12000
ar1_s,AR(1)-GRW-S,8-20,8,0.20549802499999997,0.16454999999999997,12000
ar1_s,AR(1)-GRW-S,8-20,9,0.19304975000000002,0.1279,12000
ar1_s,AR(1)-GRW-S,8-20,10,0.15194680833333332,0.08215,12000
empirical,Empirical,0,1,0.29692425990003846,0.27647058823529413,51
empirical,Empirical,0,2,0.26520569011918493,0.22352941176470592,51
empirical,Empirical,0,3,0.2282006920415225,0.15980392156862744,51
empirical,Empirical,0,4,0.22987312572087656,0.16666666666666663,51
empirical,Empirical,0,5,0.19605920799692425,0.13137254901960788,51
empirical,Empirical,0,6,0.2477508650519031,0.2588235294117647,51
empirical,Empirical,0,7,0.24015763168012302,0.19705882352941173,51
empirical,Empirical,0,8,0.25453671664744326,0.15784313725490196,51
empirical,Empirical,0,9,0.28319876970396,0.2774509803921569,51
empirical,Empirical,0,10,0.19134948096885815,0.05784313725490198,51
empirical,Empirical,1-4,1,0.22623990772779698,0.18480392156862746,204
empirical,Empirical,1-4,2,0.23546232218377547,0.15637254901960784,204
empirical,Empirical,1-4,3,0.22772491349480967,0.1568627450980392,204
empirical,Empirical,1-4,4,0.23103133410226837,0.20245098039215687,204
empirical,Empirical,1-4,5,0.21132256824298346,0.20833333333333337,204
empirical,Empirical,1-4,6,0.246381199538639,0.24313725490196078,204
empirical,Empirical,1-4,7,0.24773164167627837,0.22549019607843135,204
empirical,Empirical,1-4,8,0.21925221068819684,0.1779411764705882,204
empirical,Empirical,1-4,9,0.2299644367550942,0.17549019607843142,204
empirical,Empirical,1-4,10,0.17170799692425992,0.08137254901960783,204
empirical,Empirical,5-7,1,0.24114443162886068,0.18823529411764706,153
empirical,Empirical,5-7,2,0.23195565808022559,0.1519607843137255,153
empirical,Empirical,5-7,3,0.18995899013200052,0.1696078431372549,153
empirical,Empirical,5-7,4,0.22354863514033063,0.19705882352941176,153
empirical,Empirical,5-7,5,0.22071639113161606,0.20294117647058824,153
empirical,Empirical,5-7,6,0.21215558118672306,0.19019607843137254,153
empirical,Empirical,5-7,7,0.2256183519159298,0.2029411764705883,153
empirical,Empirical,5-7,8,0.240317826476996,0.1754901960784313,153
empirical,Empirical,5-7,9,0.20542099192618224,0.14117647058823535,153
empirical,Empirical,5-7,10,0.16173266692297836,0.08137254901960778,153
empirical,Empirical,8-20,1,0.17751345636293733,0.125,612
empirical,Empirical,8-20,2,0.17464757144687942,0.13431372549019607,612
empirical,Empirical,8-20,3,0.19102108163526849,0.1627450980392157,612
empirical,Empirical,8-20,4,0.19474400871459696,0.16911764705882354,612
empirical,Empirical,8-20,5,0.18922850185825965,0.1686274509803921,612
empirical,Empirical,8-20,6,0.19191016275791362,0.17549019607843133,612
empirical,Empirical,8-20,7,0.19908688965782392,0.17941176470588227,612
empirical,Empirical,8-20,8,0.19032103037293346,0.15098039215686276,612
empirical,Empirical,8-20,9,0.15849513007817506,0.10343137254901963,612
empirical,Empirical,8-20,10,0.0974240676662822,0.04705882352941182,612
