source,model_tag,year,average_midrank,dense_rank,random_tie_mean,random_tie_lower,random_tie_upper
Empirical,empirical,0,1.0,1.0,1.0,1.0,1.0
Empirical,empirical,1,0.38837107098494567,0.38837107098494567,0.3812065832851428,0.3651021771574308,0.39590580102644185
Empirical,empirical,2,0.348471505540557,0.348471505540557,0.342961703586621,0.3311506320104811,0.35669996921986497
Empirical,empirical,3,0.279029426735551,0.279029426735551,0.2750694227514726,0.262024912233645,0.288590201966084
Empirical,empirical,4,0.3206461315851746,0.3206461315851746,0.3154373590327485,0.3011860144655327,0.32971176133612473
Empirical,empirical,5,0.2811897677410219,0.2811897677410219,0.2767812205443045,0.2630487916026545,0.2897592590875466
Empirical,empirical,6,0.27152847149264003,0.27152847149264003,0.2676173042707946,0.25370069270004203,0.28123719633451794
Empirical,empirical,7,0.2593550436892985,0.2593550436892985,0.2560498611953865,0.24148404125759357,0.26929771763376076
Empirical,empirical,8,0.22997865554497404,0.22997865554497404,0.22702385964801192,0.21455263301326666,0.2412337677757542
Empirical,empirical,9,0.24024401857190011,0.24024401857190011,0.23675186954831456,0.22361698927761217,0.2495775115493354
Empirical,empirical,10,0.24248316578800494,0.24248316578800494,0.23858172845045658,0.2266287384238083,0.2522153849563617
Empirical,empirical,11,0.26678420739506475,0.26678420739506475,0.26258443655956354,0.2484104762824472,0.2764621344406644
Empirical,empirical,12,0.2777604516935518,0.2777604516935518,0.2736497674754162,0.26005833073062906,0.2873779893312117
Empirical,empirical,13,0.24886296769129743,0.24886296769129743,0.24518632529740397,0.23165039420510247,0.2586511289931911
Empirical,empirical,14,0.2347689863880156,0.2347689863880156,0.23075075187434302,0.21759651472075228,0.24449399018428053
Empirical,empirical,15,0.2630862835037376,0.2630862835037376,0.2591216041493703,0.2456211469705088,0.2736435945317654
Empirical,empirical,16,0.21713113650493795,0.21713113650493795,0.21385662898041316,0.20034331723915985,0.2266986982106135
Empirical,empirical,17,0.19423666735314687,0.19423666735314687,0.1913146417778028,0.17854202800155508,0.2052663047079585
Empirical,empirical,18,0.19036204896293607,0.19036204896293607,0.18754450049901805,0.17162996985536957,0.20115930291701148
Empirical,empirical,19,0.18562400067104184,0.18562400067104184,0.18259181546935846,0.16850062973759086,0.19643030040823825
Empirical,empirical,20,0.18729420009216793,0.18729420009216793,0.18465506315129343,0.16910879635650047,0.19786496001635578
AR(1)-GRW-S,ar1_s,0,1.0,1.0,1.0,1.0,1.0
AR(1)-GRW-S,ar1_s,1,0.3585414833832556,0.3585414833832556,0.35854010201264896,0.3585140899453409,0.35856786359587867
AR(1)-GRW-S,ar1_s,2,0.18270858621606983,0.18270858621606983,0.1827082512350506,0.18269519516725197,0.18272279717962797
AR(1)-GRW-S,ar1_s,3,0.10002004068778769,0.10002004068778769,0.1000204151342202,0.10000873819698738,0.10003166279861662
AR(1)-GRW-S,ar1_s,4,0.0371398917067515,0.0371398917067515,0.037140409986508124,0.03712692601756926,0.03715349207323492
AR(1)-GRW-S,ar1_s,5,0.02369652221563227,0.02369652221563227,0.023696346600851483,0.02368420316924203,0.023707753512977534
AR(1)-GRW-S,ar1_s,6,0.009209192851521199,0.009209192851521199,0.009208911203545112,0.009191989624319897,0.00922608606496086
AR(1)-GRW-S,ar1_s,7,0.0020608731051289185,0.0020608731051289185,0.002060555403277554,0.002039537214595372,0.0020837289097372894
AR(1)-GRW-S,ar1_s,8,0.002103430057352386,0.002103430057352386,0.002103443240122434,0.002078167799181678,0.0021280382627803826
AR(1)-GRW-S,ar1_s,9,-0.008996535920259608,-0.008996535920259608,-0.008995139408591398,-0.009039145843891457,-0.008947414030574141
AR(1)-GRW-S,ar1_s,10,-0.00027937592190004047,-0.00027937592190004047,-0.0002801284907692849,-0.00033774460567744603,-0.00022010716930107165
AR(1)-GRW-S,ar1_s,11,-0.009197640109004045,-0.009197640109004045,-0.009195249555920505,-0.009259118676491188,-0.009133027460530274
AR(1)-GRW-S,ar1_s,12,-0.00929070391914667,-0.00929070391914667,-0.009293209384516091,-0.009366968936169688,-0.009223440679334408
AR(1)-GRW-S,ar1_s,13,-0.00419191544554359,-0.00419191544554359,-0.0041939059023230595,-0.0042601842492018425,-0.004127296865872969
AR(1)-GRW-S,ar1_s,14,0.00018000022497740724,0.00018000022497740724,0.0001804815522528155,9.676451676764517e-05,0.00027342226743422266
AR(1)-GRW-S,ar1_s,15,0.0035922615270799615,0.0035922615270799615,0.0035903050084790493,0.0035049631430496314,0.0036744447643444478
AR(1)-GRW-S,ar1_s,16,-0.004842896583822181,-0.004842896583822181,-0.004843397875681975,-0.004920548706005488,-0.004765816042758161
AR(1)-GRW-S,ar1_s,17,-0.006760759065119294,-0.006760759065119294,-0.0067572274953482765,-0.006836334641063346,-0.006685671661156716
AR(1)-GRW-S,ar1_s,18,0.0012758371178014775,0.0012758371178014775,0.0012786205469462054,0.0011981924681819247,0.0013687666711876666
AR(1)-GRW-S,ar1_s,19,0.005465209231508182,0.005465209231508182,0.005463667745868677,0.0053791924545919245,0.005546307709163077
AR(1)-GRW-S,ar1_s,20,-0.003884677580247457,-0.003884677580247457,-0.0038858395726343972,-0.0039553132670531324,-0.0038061008345610086
