transition_year,n,intercept,beta,sigma_resid,var_resid,implied_stationary_mean_log,implied_stationary_var_log,mean_resid,sd_resid
0,1963,0.9798170766818245,0.40202256811172776,0.9369108725342336,0.8778019830728588,1.638551932616909,1.0470242959324805,-2.6242663445036814e-17,0.9369108725342336
1,2003,0.9287133075429806,0.48490489310573415,0.8757553385008239,0.7669474129126925,1.8029938454329342,1.0027196461675507,4.3943325707579836e-16,0.8757553385008239
2,2005,0.8354258502596275,0.5345764557712844,0.8508099893684883,0.7238776380092072,1.7949797783523551,1.0135105665129844,-6.378937278644291e-17,0.8508099893684884
3,1944,0.8453694699343953,0.5355178525420435,0.8483321243245893,0.7196673931610704,1.8200257524664403,1.0090389471149324,-1.1358084112008803e-15,0.8483321243245893
4,1874,0.7457258099497726,0.5454890446942755,0.8473300470561118,0.7179682086441126,1.64072130989266,1.0221036229465859,1.2512225336223748e-16,0.8473300470561117
5,1792,0.7215040431983422,0.5532102084798379,0.8281514701923075,0.6858348575816804,1.6148624182828564,0.9882938128735439,8.931347724886305e-16,0.8281514701923075
6,1717,0.6176282679123086,0.5790019667960038,0.8713708334187543,0.7592871293328944,1.467057371294261,1.1422030100555516,1.7380777461807924e-16,0.8713708334187543
7,1631,0.655159184234371,0.5791676378761718,0.8301812762512729,0.6892009514381923,1.5568174959928416,1.0370710312224403,-3.2891463243340013e-16,0.8301812762512728
8,1550,0.5698353687242567,0.6190713270231876,0.826163901996638,0.6825467929623105,1.495910938578633,1.106681843655556,-6.200058387842165e-16,0.826163901996638
9,1444,0.5455321626269475,0.6219915597698542,0.852685724729548,0.7270729451575545,1.443174555295133,1.1858449205204193,-7.645469360715067e-16,0.852685724729548
10,1339,0.5567099183660056,0.614132450756712,0.8394226914586868,0.7046304549357456,1.4427487345275622,1.1313161437500554,-3.276774752291724e-16,0.8394226914586868
11,1224,0.48959777441339086,0.6498284333319314,0.8283696673708824,0.6861963058201463,1.398165416661273,1.187760046300115,-2.7429039431915633e-16,0.8283696673708824
12,1103,0.4252340854325717,0.6530284324408523,0.8708310890756117,0.758346785700616,1.2255588791438443,1.3221893009439065,8.245645528313039e-16,0.8708310890756117
13,1004,0.5040028475416147,0.6456380944069718,0.8511654008137033,0.7244825395423521,1.4222828119691957,1.2423574325969922,2.866233147239448e-16,0.8511654008137033
14,910,0.5456831522828042,0.6153562079355296,0.8943067044146802,0.7997844815610461,1.4186714137618055,1.2871997316067696,5.309550113372177e-16,0.8943067044146802
15,832,0.4657122733377234,0.6829697556698235,0.8194502846930617,0.6714987690835398,1.4689837378818016,1.2585434509858968,-2.6047540193128674e-16,0.8194502846930617
16,767,0.3308677550605517,0.6968707923256299,0.8848709495715159,0.7829965973955962,1.0915073397215458,1.5222406531335742,3.589769362542879e-16,0.8848709495715159
17,700,0.4717449408974274,0.673005720417314,0.8488409628951179,0.7205309802887109,1.4426703167391,1.3170888632313424,8.39963019773547e-16,0.8488409628951179
18,640,0.37029034139680655,0.70348379986832,0.8292873834883772,0.6877175644129987,1.2488030712398317,1.3615189259145204,3.469446951953614e-17,0.8292873834883772
19,591,0.3439791181918374,0.7380899590109038,0.8043037214112975,0.646904476276062,1.3133483424034051,1.4210709354102198,4.057667907259455e-16,0.8043037214112975
