transition_year,n,mu,sigma,var
0,1963,0.27997509841298324,1.130056936068328,1.277028678756137
1,2003,0.18006930285390427,1.0213138380065965,1.0430819557037645
2,2005,0.07179446488721473,0.9698367553417262,0.9405833320117672
3,1944,0.04468039589264971,0.967429469772026,0.9359197789833834
4,1874,-0.06282093997867738,0.9631462195690755,0.9276506402702018
5,1792,-0.04748749867398632,0.944065185734808,0.8912590749164976
6,1717,-0.08653333650393286,0.9680490232642825,0.9371189114429315
7,1631,-0.017205146010049292,0.9406054004997789,0.8847385194493496
8,1550,-0.029841794735787446,0.9158642836142215,0.8388073860001911
9,1444,-0.0425855142641967,0.9395858560616418,0.8828215809110883
10,1339,-0.030165964786932578,0.9378421243836156,0.8795478502683731
11,1224,-0.034006267847383524,0.9119772598852346,0.8317025225477808
12,1103,-0.08445209055585519,0.9498431930526524,0.9022020913884583
13,1004,0.0030081647006972192,0.939977420875039,0.8835575517548901
14,910,-0.003972480352932823,0.9939961551975248,0.9880283565474619
15,832,0.009405127067577686,0.8953150466503518,0.8015890327585216
16,767,-0.1107258152477589,0.948834279282388,0.9002864895413286
17,700,0.022023239494213986,0.934013717661049,0.8723816247790138
18,640,-0.05642063338946564,0.8982634466215964,0.8068772195365096
19,591,-0.027301569576718383,0.8603194306366441,0.7401495227309595
