transition_year,n,mean_raw_delta,median_raw_delta,var_raw_delta,mean_log_delta,median_log_delta,var_log_delta
0,50000,1.055062634468015,0.6850991564277057,31.835965337003806,0.2933583855349551,0.2399335702371675,1.116411546725152
1,50000,0.634116140415948,0.20236835666637232,37.80180231375678,0.11186167616010134,0.05843514491578028,0.9696606972311504
2,50000,0.5055048169958969,0.17520065814277463,42.096559863586336,0.08739177410017474,0.0462546721865813,0.9131123661840931
3,50000,0.4891016003082466,0.21851744650596117,46.950780030728474,0.0802076994728391,0.05028337202058142,0.8956310213273897
4,50000,0.4351260859101681,0.1775022267856112,51.38218938927373,0.06333665594095926,0.03976749070622254,0.8819330981790391
5,50000,-0.6929506462096502,-0.3275805485760965,50.33638759282335,-0.09469092158533941,-0.0671651380772359,0.8969161538136503
6,50000,-0.18800794470277005,0.0,47.46724742162708,-0.03730616260097915,0.0,0.9175104216565378
7,50000,-0.13168152201085884,0.0,44.67524933597859,-0.023391207275833895,0.0,0.9428984447045304
8,50000,-0.05809045207327125,0.0,45.717813781359986,-0.05411060734321149,0.0,0.8956584008998505
9,50000,-0.09925515343299117,0.0,48.280804155816895,-0.030554627502594595,0.0,0.9196481576749516
10,50000,-0.13119878254089107,0.0,46.24563957935691,-0.0207268302900958,0.0,0.9473819659923148
11,50000,0.04063193848891186,0.0,47.39476097731499,-0.008188859281949687,0.0,0.9461044131225547
12,50000,-0.12748069847602084,0.0,48.1238351040938,-0.0180550359204023,0.0,0.935193286610456
13,50000,0.004260960724800249,0.0,46.52656037314209,-0.007154368843365008,0.0,0.9497610514230124
14,50000,-0.05971338624565388,0.0,45.498336801152455,-0.010844046539388396,0.0,0.9602391333686673
15,50000,-0.021073657538173876,0.0,46.020757202205004,-0.0062136938818356455,0.0,0.9607347149553568
16,50000,-0.015808366615604967,0.0,46.910578807926626,-0.005727420561591194,0.0,0.9469683682112404
17,50000,-0.038030632913097946,0.0,46.6319827628242,-0.0027449421166178007,0.0,0.9603772917273748
18,50000,-0.04103992724820654,0.0,46.57114609430327,-0.007236052182560871,0.0,0.9441807253203294
19,50000,-0.04111217802187724,0.0,45.00295987829557,-0.0025414092991266715,0.0,0.9451741479486276
