model,model_tag,n_trajectories,n_years,model_seed,trajectory_file,active_state_file,active_run_length_file,year_summary_file,transition_summary_file,trajectory_long_sample_file,minimum,maximum,zero_fraction_year_20
ARW4,arw4,50000,21,7893443217372262338,arw4/trajectories.npy,,,arw4/year-summary.csv,arw4/transition-summary.csv,arw4/trajectory-long-sample.csv,4.189668151632908e-05,63.59970887958718,0.0
Unfitted-GRW,unfitted_grw,50000,21,12241077368650865958,unfitted_grw/trajectories.npy,,,unfitted_grw/year-summary.csv,unfitted_grw/transition-summary.csv,unfitted_grw/trajectory-long-sample.csv,5.235277286793402e-05,40650.872154604695,0.0
GRW-Y,grw_y,50000,21,14512579941737846081,grw_y/trajectories.npy,,,grw_y/year-summary.csv,grw_y/transition-summary.csv,grw_y/trajectory-long-sample.csv,0.0,6397973023.125588,0.10662
GRW-G,grw_global,50000,21,13939329440548590132,grw_global/trajectories.npy,,,grw_global/year-summary.csv,grw_global/transition-summary.csv,grw_global/trajectory-long-sample.csv,0.0,615430704.4010491,0.30756
AR(1)-GRW-Y,ar1_y,50000,21,16860308996171422247,ar1_y/trajectories.npy,,,ar1_y/year-summary.csv,ar1_y/transition-summary.csv,ar1_y/trajectory-long-sample.csv,0.0,1074.5387615803704,0.0338
AR(1)-GRW-S,ar1_s,50000,21,10364501871564685049,ar1_s/trajectories.npy,,,ar1_s/year-summary.csv,ar1_s/transition-summary.csv,ar1_s/trajectory-long-sample.csv,0.0,1022.6618391769599,0.02466
AR(1)-GRW-S-G,ar1_s_globalinit,50000,21,13938879905710472210,ar1_s_globalinit/trajectories.npy,,,ar1_s_globalinit/year-summary.csv,ar1_s_globalinit/transition-summary.csv,ar1_s_globalinit/trajectory-long-sample.csv,0.0,798.6845322494828,0.02484
Hurdle-AR(1)-GRW-S,hurdle_ar1_s,50000,21,1702118621661579778,hurdle_ar1_s/trajectories.npy,hurdle_ar1_s/active-states.npy,,hurdle_ar1_s/year-summary.csv,hurdle_ar1_s/transition-summary.csv,hurdle_ar1_s/trajectory-long-sample.csv,0.0,281.3041061261064,0.13982
Hurdle-AR(1)-GRW-S-P,hurdle_ar1_s_p,50000,21,14245296302883193865,hurdle_ar1_s_p/trajectories.npy,hurdle_ar1_s_p/active-states.npy,,hurdle_ar1_s_p/year-summary.csv,hurdle_ar1_s_p/transition-summary.csv,hurdle_ar1_s_p/trajectory-long-sample.csv,0.0,415.5770706920871,0.15486
Hurdle-AR(3)-GRW-S-P,hurdle_ar3_s_p,50000,21,18018853576801515496,hurdle_ar3_s_p/trajectories.npy,hurdle_ar3_s_p/active-states.npy,hurdle_ar3_s_p/active-run-length.npy,hurdle_ar3_s_p/year-summary.csv,hurdle_ar3_s_p/transition-summary.csv,hurdle_ar3_s_p/trajectory-long-sample.csv,0.0,329.4540269568113,0.15964
